experiment,hidden,dropout,lr,weight_decay,batch_size,best_epoch,best_threshold,best_val_mcc,VAL_MCC,VAL_F1,VAL_Precision,VAL_Recall,VAL_Accuracy,VAL_ROC_AUC,VAL_PR_AUC,VAL_TN,VAL_FP,VAL_FN,VAL_TP
mlp2_probs,[128],0.1,0.001,0.0001,256,18,0.64,0.6224209591140182,0.6224209591140182,0.8080211409917613,0.8560606060606061,0.7650868413305858,0.8086754453911696,0.8992624296473651,0.9130510298988762,2621,437,798,2599
mlp2_probs,"[128, 64]",0.1,0.0003,0.0001,256,9,0.64,0.622145956529762,0.622145956529762,0.8083191060065186,0.8548916611950098,0.7665587282896673,0.8086754453911696,0.8992556911197566,0.913107084456956,2616,442,793,2604
mlp2_probs,"[128, 64]",0.3,0.0003,0.0001,128,15,0.62,0.6220823763211146,0.6220823763211146,0.8078955548647808,0.8557787290088904,0.7650868413305858,0.8085205267234702,0.8992266191863593,0.9130756304544809,2620,438,798,2599
mlp2_probs,[128],0.1,0.0003,0.0001,128,30,0.63,0.6219672012923922,0.6219672012923922,0.8075307297339349,0.8564356435643564,0.7639093317633205,0.8083656080557707,0.8992626221767254,0.913059678566402,2623,435,802,2595
mlp2_probs,"[128, 64]",0.1,0.001,0.0001,128,3,0.63,0.6219170418718537,0.6219170418718537,0.8080745341614907,0.8550772264212948,0.7659699735060347,0.8085205267234702,0.8992455351960036,0.9130967876999421,2617,441,795,2602
mlp2_probs,[128],0.3,0.001,0.0001,128,27,0.64,0.6215721613497338,0.6215721613497338,0.8074650077760497,0.8559182327728322,0.7642037091551369,0.8082106893880713,0.8991781499199176,0.9129832944416313,2621,437,801,2596
mlp2_probs,[64],0.1,0.001,0.0001,256,37,0.64,0.6215721613497338,0.6215721613497338,0.8074650077760497,0.8559182327728322,0.7642037091551369,0.8082106893880713,0.8991362747840639,0.9129904781642206,2621,437,801,2596
mlp2_probs,"[128, 64]",0.3,0.0003,0.0001,256,12,0.61,0.6215398057948235,0.6215398057948235,0.8084908583823985,0.8534510958456003,0.7680306152487489,0.8085205267234702,0.8992819713774303,0.9130971978635298,2610,448,788,2609
mlp2_probs,[128],0.1,0.0003,0.0001,256,46,0.62,0.6215163392133027,0.6215163392133027,0.8075248756218906,0.8556836902800659,0.7644980865469532,0.8082106893880713,0.8992528994440329,0.9130403708444568,2620,438,800,2597
mlp2_probs,[128],0.3,0.0003,0.0001,128,23,0.62,0.6214701962233231,0.6214701962233231,0.8080682699767262,0.8543307086614174,0.7665587282896673,0.8083656080557707,0.8993635556938344,0.9131229299003135,2614,444,793,2604
mlp2_probs,[64],0.3,0.0003,0.0001,128,14,0.52,0.6213715313355537,0.6213715313355537,0.8156626506024096,0.8350292938637064,0.7971739770385634,0.8103795507358637,0.8994679066070878,0.9132408297673487,2523,535,689,2708
mlp2_probs,[128],0.1,0.001,0.0001,128,10,0.62,0.6212893278723253,0.6212893278723253,0.8072795146990199,0.8558707124010554,0.7639093317633205,0.8080557707203718,0.8992407219619973,0.913034446183141,2621,437,802,2595
mlp2_probs,"[128, 64]",0.3,0.001,0.0001,256,5,0.61,0.6212556506552909,0.6212556506552909,0.8083062141639547,0.8534031413612565,0.7677362378569326,0.8083656080557707,0.8992714303949566,0.9130913859677103,2610,448,789,2608
mlp2_probs,"[128, 64]",0.3,0.001,0.0001,128,3,0.62,0.6212026230970157,0.6212026230970157,0.8083656080557707,0.8531720078482669,0.7680306152487489,0.8083656080557707,0.899335157613198,0.9131510174953346,2609,449,788,2609
mlp2_probs,[128],0.3,0.0003,0.0001,256,60,0.63,0.6211777067483499,0.6211777067483499,0.8073993471164308,0.8554018445322793,0.7644980865469532,0.8080557707203718,0.8992399037122163,0.9130338863450393,2619,439,800,2597
mlp2_probs,[64],0.3,0.001,0.0001,256,7,0.64,0.6209345130904926,0.6209345130904926,0.8052598622417032,0.8599130725509863,0.7571386517515455,0.8072811773818745,0.8994782069278608,0.9132504181632304,2639,419,825,2572
mlp2_probs,"[128, 64]",0.1,0.001,0.0001,256,12,0.6,0.6208128587576807,0.6208128587576807,0.8082997832146176,0.8526625285854296,0.7683249926405652,0.8082106893880713,0.8991381519453264,0.9130294618328973,2607,451,787,2610
mlp2_probs,[64],0.3,0.001,0.0001,128,8,0.45,0.6208124072807439,0.6208124072807439,0.8211143695014663,0.8179959100204499,0.8242566970856638,0.8109992254066615,0.8994088000934921,0.913192470873158,2435,623,597,2800
mlp2_probs,[128],0.3,0.001,0.0001,256,5,0.54,0.6208100153371238,0.6208100153371238,0.8145685355901465,0.8369565217391305,0.7933470709449514,0.8099147947327653,0.8993996068165404,0.9131493507353433,2533,525,702,2695
mlp2_probs,[64],0.3,0.0003,0.0001,256,32,0.47000000000000003,0.6207561681240871,0.6207561681240871,0.8198317839752102,0.8218934911242604,0.817780394465705,0.810844306738962,0.8994458619953397,0.9132221351120725,2456,602,619,2778
mlp2_probs,"[128, 64]",0.1,0.0003,0.0001,128,9,0.64,0.6207409857204021,0.6207409857204021,0.8078771902620562,0.8535386631716907,0.7668531056814837,0.8080557707203718,0.8991746843914331,0.9130551630903065,2611,447,792,2605
mlp2_probs,[64],0.1,0.001,0.0001,128,26,0.64,0.6207238091282183,0.6207238091282183,0.8069083553757586,0.8557755775577558,0.7633205769796879,0.8077459333849729,0.8991355046666228,0.912991974904922,2621,437,804,2593
mlp2_probs,[64],0.1,0.0003,0.0001,256,11,0.53,0.620723494665401,0.620723494665401,0.8161488818850368,0.8325168401714635,0.8004121283485428,0.8102246320681642,0.8994810467359245,0.9132263696871399,2511,547,678,2719
mlp2_probs,[64],0.1,0.0003,0.0001,128,7,0.52,0.6206956116570966,0.6206956116570966,0.8162040510127533,0.8323133414932681,0.8007065057403592,0.8102246320681642,0.8994704094887711,0.913211582953188,2510,548,677,2720
